pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement
GREATER KAILASH,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,3,0,9,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2
GULABI BAGH,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,2,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2
HARI NAGAR,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
HARSH VIHAR,0,0,0,1,0,0,0,0,13,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HAUZ KHAS,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,1,2,0,7,0,4,0,0,2,0,0,1,0,0,0,0,0,1,0,2
HAZARAT NIZAMUDDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDER PURI,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
JAFFARPUR KALAN,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1
JAFRABAD,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,1
JAHANGIR PURI,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,3,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
JANAK PURI,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,5,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
JYOTI NAGAR,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,2,1,7,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1
KALKAJI,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KANJHAWALA,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KAPASHERA,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KARAWAL NAGAR,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1
KASHMERI GATE,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KESHAV PURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12,1
KHAJURI KHAS,0,1,0,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,4,0,1
KHYALA,0,0,0,0,0,0,0,0,14,0,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
KIRTI NAGAR,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
KN KATJU MARG,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
KOTWALI,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,1,1,0,8,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
LAHORI GATE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1
LAJPAT NAGAR,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LODI COLONY,0,0,0,1,0,0,0,0,4,0,3,0,0,0,2,0,0,0,5,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MAHENDRA PARK,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MANDIR MARG,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1
MANGOL PURI,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,1,0,10,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
MAURICE NAGAR,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,7,1,10,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MAURYA ENCLAVE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2
MAYAPURI,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,4,0,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEHRAULI,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0
MIANWALI NAGAR,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MODEL TOWN,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3,9,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
MOTI NAGAR,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,0,0
MUKHERJEE NAGAR,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,1,0,1,1,0,0,0,0,0,0,0,0,5,0,1
MUNDKA,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAJAF GARH,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,2,2,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4
NAND NAGRI,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,3
